words,ebay_trend,arima_trend,lstm_trend,sarima_trend,tes_trend,ma_trend
in,False,False,True,False,True,False
2011,False,False,False,True,False,False
visit,False,False,False,False,False,False
for,False,False,True,False,True,False
the,True,True,True,True,True,False
best,True,True,True,True,True,False
summer,True,False,False,False,False,False
want,False,False,True,False,True,False
to,False,False,True,False,True,False
get,False,False,True,False,True,False
of,False,False,False,True,True,False
nyc,False,False,False,False,False,False
or,False,False,False,True,False,False
tickets,False,False,True,False,False,False
our,False,False,True,False,False,False
are,False,False,True,False,True,False
you,False,False,True,False,False,False
omg,False,False,True,True,False,False
i'm,False,False,True,False,True,False
so,False,False,True,False,True,False
a,False,False,True,False,True,False
work,False,False,False,False,True,False
week,False,False,True,True,False,False
isn't,False,False,False,True,False,False
right,True,True,True,False,True,False
start,False,False,True,False,False,False
your,False,False,True,False,False,False
monday,True,True,True,True,True,True
with,False,False,True,False,True,False
am,False,False,True,False,True,False
call,False,False,True,False,False,False
.,False,False,True,False,True,False
;),False,False,False,False,False,False
has,False,False,False,False,True,False
some,False,False,False,False,False,False
amazing,False,False,False,False,False,False
things,False,False,True,False,False,False
-,False,False,True,True,True,False
40,False,False,False,False,False,False
years,False,False,False,False,False,False
ago,False,False,False,False,False,False
on,False,False,False,False,True,False
days,False,False,False,False,False,False
number,True,False,False,False,False,False
1,True,False,False,False,True,False
...,False,False,True,False,True,False
is,False,False,True,True,True,False
words,False,False,False,False,False,False
..,False,False,True,False,True,False
this,False,False,True,False,False,False
feeling,False,False,False,False,False,False
ever,False,False,False,False,False,False
we,False,False,True,False,True,False
guys,False,False,True,False,False,False
world,False,False,False,True,False,False
and,False,False,True,False,True,False
won't,False,False,False,False,False,False
let,False,False,True,False,False,False
u,False,False,True,False,True,False
down,True,True,True,False,False,False
love,False,False,True,False,False,False
all,True,False,True,True,True,False
x,False,False,True,False,False,False
5,True,True,False,False,True,False
learn,False,False,False,False,False,False
better,False,False,True,False,True,False
live,True,False,True,False,False,False
it,False,False,True,False,False,False
listen,False,False,False,False,False,False
change,False,False,False,False,False,False
girl,False,False,True,False,False,False
sweet,False,False,False,False,False,False
pic,False,False,False,False,False,False
was,True,True,True,False,False,False
up,False,False,True,False,False,False
have,False,False,True,False,True,False
back,False,False,True,False,False,False
