words,rmse,trend_points
in,11.443444833485373,5
2011,20.14389431867997,7
visit,20.08256464023748,4
for,13.038900397767446,6
the,13.069584652605212,8
best,13.550242966181994,7
summer,21.473839350855005,2
want,13.676519572894309,6
to,11.761928614783766,6
get,14.488798583456145,5
of,11.340132413523513,7
nyc,22.326302278835563,3
or,14.44311567816903,7
tickets,22.347935517060105,2
our,9.98305052341003,6
?,12.134276965916987,6
!,13.481301726122554,8
,11.778006875759102,7
are,12.538613711282164,6
you,11.413336527130356,5
omg,13.621559943355571,7
i'm,14.495257856968168,5
so,13.371629244508457,6
a,11.544388170195814,5
work,14.88317719354004,4
week,17.594947266709262,8
isn't,128.59211579079567,8
right,16.04066597200227,6
start,79.20904870002904,5
your,11.90967246327719,5
monday,24.182610943850726,9
with,12.217144224214785,6
am,14.984143032561242,6
call,17.68525153023119,5
.,11.9913474714529,6
;),19.66023087579528,4
has,16.935103387715394,6
some,12.82503578238516,5
amazing,14.570455514897281,3
things,13.919977968430532,3
-,12.053866338602743,8
40,110.5017060390097,5
years,13.241415590699829,4
ago,22.653096834245385,4
on,11.929957889752725,6
days,17.14898370316054,3
number,20.293974590135296,3
1,9.086250091223583,5
...,13.824209149215735,5
is,12.375084555981726,7
words,11.513311244693242,2
..,15.346403462822316,6
this,11.248672729276423,6
feeling,15.434305854548336,4
ever,12.035983723065018,6
we,11.85993608593178,6
guys,17.343296294694774,4
world,48.03681682568666,8
and,11.957191264168808,5
won't,21.081150202521364,2
let,16.590799351751198,6
u,11.568697977413454,5
down,13.75145749308144,4
love,15.348322866923334,4
all,14.60810261324324,9
x,14.025521712534923,4
5,231.4238284166332,5
:,13.65014397573247,6
learn,24.48532233959672,3
better,12.49542355510185,6
live,10.475675745586459,2
it,13.611616949033303,5
listen,20.61609584788103,3
change,20.284185976218293,3
girl,15.383907220907599,5
sweet,12.777724883211741,4
pic,21.256580126967783,3
was,12.94280519378477,6
up,14.281053245210916,5
have,12.209392633491635,6
back,12.616369548035792,6
form,19.31201267601338,3
#,19.790505833373224,2
new,14.653197899113136,5
michael,148.13280183558783,11
song,13.1048104172893,3
"""",11.923854985882992,6
@,18.67937830790354,5
word,24.97096745259787,5
ain't,20.17565778200453,5
it's,14.558397697081661,7
stupid,22.45433033197659,4
ones,25.59314522721295,4
that,14.253469869099401,6
need,14.629166547458484,6
advice,158.45382790141215,9
make,12.830953942765523,5
me,13.746661620449608,5
feel,21.21707681155868,2
warm,12.576102439559083,1
inside,18.08968068825058,3
like,12.973254734814262,4
i,13.436856421603043,10
&,12.095459504569558,6
now,12.978393614499346,6
my,12.569027795922379,6
rt,13.067626142937177,7
follow,17.957314860894346,4
yu,14.012747511526179,3
30,28.324757686454937,9
minutes,45.864571208942635,4
not,14.372613233359305,6
i'll,19.572560952731187,6
give,18.7031029894706,5
good,15.814360654907627,5
see,13.895453521952353,6
twitter,14.335535002719254,5
:-),38.715898178323,2
how,14.69898698523574,7
r,21.28066334336311,3
n,17.462420162512373,4
will,13.799145540345235,7
tell,17.752682046712685,7
friends,17.112167729197537,2
just,11.94129894041664,8
company,57.84651144202395,4
excited,24.560240695339502,4
there,13.815562671860208,5
two,15.933370072780685,7
success,30.300190165358046,2
life,18.691648173001937,4
don't,16.36353369098864,6
people,14.219364079615765,7
everything,22.026643738702827,5
know,15.86082827216279,6
they,13.037971826327782,5
sent,20.618180018338446,2
guy,15.419213220115147,4
message,26.387977800917046,2
said,15.624248813365105,6
where,12.943957378526019,5
office,21.98647650651134,6
watched,94.70969803692967,6
as,18.023982276022636,5
show,10.776426219823735,5
you're,14.596770344678756,3
favorite,20.257283947162016,4
an,16.963519798493994,6
top,24.632398812799465,3
10,20.278868758424288,5
using,20.968907369453902,4
thanks,18.82966591900438,3
wish,17.488033149799147,6
fat,19.062442920869813,1
us,14.338179579823795,6
send,21.63633182053492,4
from,13.64682893915532,5
please,15.002898437872586,5
maybe,20.01776040566398,5
would,12.412882339499662,6
do,14.368120348777099,4
cause,15.935427866478413,5
pain,25.9855168181972,6
blog,20.65268215688298,3
search,22.486238958364936,3
(,11.959746347821,5
),11.406951942270139,3
exactly,24.723010264321104,4
many,20.145386290571548,7
special,20.076743844707757,3
choose,109.76367340568802,3
girls,11.683807253301385,3
go,17.41875029778182,7
bad,15.40966622942308,5
writing,36.01252860574924,6
songs,41.092686181707116,3
beach,135.19754695605843,6
walking,94.32804453155055,5
dog,173.34717315933474,9
lots,21.490054543018513,3
places,34.503599339092936,5
be,14.007727577784514,9
press,73.11187804571004,7
any,18.45298620061202,5
key,25.54518974038358,3
continue,39.52564649869794,2
finally,16.7574504720993,2
read,20.670314452975408,4
great,11.554229162705223,7
job,20.687941480725698,7
3,13.62755937433453,4
dreams,16.878065316834633,4
seen,13.358430232815639,5
real,18.855662966336823,6
mind,141.30475081162476,11
does,18.647313537668335,5
them,14.597724793380026,7
bed,33.22392257921941,4
interesting,26.191546089192677,5
why,14.426784201372321,9
games,19.36619507212774,4
never,11.58358054014075,4
came,18.123972673421815,3
>,17.762001466618706,6
health,13.57644803049306,5
did,15.579654937072917,5
something,19.218316336286474,5
couldn't,24.036194083199902,3
done,19.32131824439344,6
almost,21.080290322500836,5
country,27.721742842474775,7
yall,16.200676584292324,6
find,19.568646347974067,5
under,22.639065258319505,5
lucky,36.69185192072782,2
(:,25.15265592441439,1
even,19.015233865238017,6
though,18.81313093234539,6
walk,18.919511537017023,3
through,19.211636401799886,3
death,81.32143223904866,5
no,14.422177915642283,5
cont,73.39594829863078,7
when,15.13308605841741,4
“,18.787369075327515,7
most,22.873110785664316,4
times,20.445968751086525,5
had,16.44931765005063,6
hope,76.41462958670229,7
looks,14.393103971058832,4
pretty,18.432983473320185,9
tonight,17.96763621605166,2
yeah,18.299484836079237,8
min,21.765601833545972,2
later,20.223406677463593,3
hahahaha,20.664330624043014,3
what,14.00748765680713,8
who,18.02401188550097,7
god,125.34942040157705,10
forget,22.20829819950101,2
2,11.629595661688649,4
hours,93.95273939483333,8
bring,15.922664629115493,4
forgot,97.19763096188368,6
@justinbieber,60.44960366891414,4
hello,44.49602064057275,4
m,19.579337565715488,3
well,14.708095405580332,8
remember,19.1750832439827,5
old,15.698859707747605,3
man,131.10057727456729,12
`,58.212624444504655,3
s,14.958543206197996,6
way,18.673116938996866,5
saying,16.169691704074637,3
got,12.618383547546275,5
about,14.704405303565542,5
weekend,26.236297631321488,4
day,16.16654309703394,5
can,15.038716134868464,6
join,97.16291055383822,13
few,17.566229615597923,4
asked,19.64101935541982,1
really,17.228771929683624,6
didn't,16.06378528395664,6
room,82.25665286267258,4
whole,17.16972956221434,6
story,20.879630817247012,3
saw,17.287642931021377,3
out,12.215344813909155,4
o,17.539068302954107,4
think,13.537146992662262,5
iphone,44.122515097081646,4
app,27.201755134867618,3
obama,1.5478151868546057,3
should,14.94330254630928,6
mean,11.025195563158166,3
nothing,19.24556002387296,4
after,17.09927986069642,4
much,16.301915831654654,7
she,15.069066697143644,4
into,17.816343257960575,5
soul,191.38328204599114,9
clothes,24.529397535009213,2
7,24.775106495814168,3
by,15.014968730678607,5
[,21.578243187357998,1
],113.48279737768333,8
la,21.717994301835816,3
da,17.971457243520604,6
at,10.682254041815556,8
long,18.032390138842025,5
dear,19.378791999816688,4
if,7.791570778882923,5
text,14.949065359594327,2
while,17.424549340435526,4
driving,24.12304935593677,1
meet,21.72699512450162,6
him,16.961549011717967,5
pay,14.079484911720307,5
haven't,23.643132359974466,4
used,12.455486264912658,2
4,9.749297319276515,3
months,97.60847336418638,5
',15.87260947148982,4
book,21.327729378855594,3
tweet,15.884217508265895,4
hate,19.55692291823212,3
but,14.070109590206432,8
mine,12.19059728250408,3
;,17.735239753899567,1
off,14.088660017390351,7
<3,27.364875967339707,4
wait,20.56987663240252,5
time,11.376265936814844,6
stand,24.961059086184434,4
whatever,93.85767101977177,10
may,83.3110119332956,2
~,34.73611927275392,3
interview,23.97052559434377,4
al,44.577770343441664,7
tho,18.757970078508492,5
once,20.198596050042514,2
relationship,12.27441009410085,4
peace,71.64712890090921,4
only,15.65557450949793,7
! !,16.249271892113587,6
comes,19.52182345496891,5
pink,55.78670652739638,3
missed,73.35704962385246,7
year,51.427718125681956,12
been,14.046288042421198,5
teacher,40.9401642897803,9
de,16.35915221750503,1
private,11.776204568860143,3
”,19.169944482641885,8
»,22.141261139356427,2
without,23.126901179064976,3
goes,22.3471620325681,4
public,27.438630432525205,6
email,37.31028912524577,3
he,16.161237115133332,6
doin,17.38591226999996,4
;d,40.362440739894794,5
lol,14.385237213142869,7
evening,22.22839776480315,0
lets,20.676567074831063,6
plz,20.40080571422859,3
check,12.523725151120388,6
k,113.93867846623432,8
version,21.198831975374034,5
black,13.676183262444681,9
yellow,21.131093619752956,10
thank,15.610821209896589,5
one,15.334076414787711,6
seems,72.761900626391,2
sometimes,24.19503567803278,6
help,16.71950397556047,6
yo,11.730003955150604,4
el,16.603391494736538,3
google,16.14070131175457,4
morning,206.8859764382068,14
least,15.287348908982807,5
month,59.68524571199974,10
ends,29.069624982997457,2
