words,counts
de_HK33,6
de_HK417,5
de_HK69,9
de_HK_G3,5
de_HK_G36,5
de_HK_MG4,7
de_HK_MK23,8
de_HK_MP5,8
de_HK_MSG90,10
de_HK_SFP9,8
de_HK_UMP,10
de_HK_USP,5
de_HK_XM8,5
de_HMHS_Britannic,4
de_HMS_Dreadnought_(1906),4
de_HMS_Hood_(51),5
de_HMS_Ocean_(L12),10
de_HMS_Prince_of_Wales_(53),8
de_HMS_Queen_Elizabeth_(R08),8
de_HMS_Victory,6
de_HPV-Impfstoff,10
de_HR_Giger,8
de_HS_30,3
de_HTMS_Chakri_Naruebet,6
de_HTTP-Statuscode,9
de_HTTP_Strict_Transport_Security,7
de_Haarlem,6
de_Haastadler,9
de_Habanero,5
de_Habichtartige,8
de_Habit,8
de_Habitable_Zone,4
de_Habsburg-Lothringen,10
de_Hachiko_–_Eine_wunderbare_Freundschaft,5
de_Hachikō,4
de_Hack,9
de_Hackerangriff_auf_private_Fotos_von_Prominenten_2014,6
de_Hacksaw_Ridge,1
de_Hadaikum,7
de_Haddaway,8
de_Haddsch,5
de_Hades,7
de_Hadrian_(Kaiser),5
de_Hadrian_VI.,8
de_Hadron,7
de_Haferbrei,7
de_Haferflocken,7
de_Haflinger,6
de_Hage_Geingob,5
de_Hagebutte,6
de_Hagen,6
de_Hagen_Liebing,5
de_Haggis,6
de_Hahnenkammrennen,9
de_Haifa,7
"de_Hail,_Caesar!",4
de_Hailee_Steinfeld,4
de_Hainan,7
de_Hainbuche,5
de_Haindling_(Band),8
de_Haka,6
de_Halbacetale,5
de_Halbe_Brüder,12
de_Halbinsel,6
de_Halestorm,6
de_Haley_Joel_Osment,10
de_Half-Life,7
de_Half-Life_2,5
de_Halifax_(Nova_Scotia),6
de_Halkların_Demokratik_Partisi,9
de_Hall-Effekt,8
de_Hall-Sensor,8
de_Halle_Berry,10
de_Halleluja,8
de_Hallelujah_(Lied),8
de_Hallig,8
de_Hallo-Welt-Programm,2
de_Halloumi,5
de_Halloween_(2007),12
de_Hallstatt,8
de_Hallstein-Doktrin,6
de_Halo,8
de_Halo-Effekt,6
de_Halo_(Lichteffekt),7
de_Halogenkohlenwasserstoffe,5
de_Hals-Nasen-Ohren-Heilkunde,7
de_Halsbandsittich,3
de_Halteproblem,8
de_Haltverbot,4
de_Halva,5
de_Hamas,3
de_Hamburg-Blankenese,8
de_Hamburg-HafenCity,9
de_Hamburg-Langenhorn,7
de_Hamburg-St._Georg,6
de_Hamburg-St._Pauli,5
de_Hamburger_Elbbrücken,8
de_Hamburger_Rathaus,6
de_Hamburger_SV,2
de_Hamburger_Verkehrsverbund,7
de_Hammer-Filme,8
de_Hammerfall,8
de_Hammerhaie,7
de_Hamming-Abstand,10
de_Hammond-Orgel,2
de_Hammām,2
de_Hampshire,4
de_Hamptons,14
de_Han-Dynastie,10
de_Hanau,11
de_Hand,9
de_Hand_of_God_(Fernsehserie),5
de_Handball-Bundesliga,8
de_Handelsregister_(Deutschland),5
de_Handelsspanne,9
de_Handgelenk,6
de_Handjob,6
de_Handkäse,15
de_Handlung_(Erzählkunst),4
de_Handlungskompetenz,4
de_Handwerk,6
de_Hangover_2,7
de_Hanka_Rackwitz,14
de_Hanky_Code,8
de_Hann._Münden,8
de_Hanna_Binke,9
de_Hanna_Reitsch,6
de_Hannah_Herzsprung,8
de_Hannah_Montana,4
de_Hannah_Murray,5
de_Hannelore_Elsner,8
de_Hannelore_Hoger,6
de_Hannes_Jaenicke,12
de_Hannes_Maurer,4
de_Hannes_und_der_Bürgermeister,13
de_Hannibal_(2001),5
de_Hanns_Dieter_Hüsch,6
de_Hanns_Eisler,11
de_Hanns_Zischler,5
de_Hannu_Manninen,11
de_Hanoi,6
de_Hanomag,7
de_Hans-Dietrich_Genscher,6
de_Hans-Georg_Aschenbach,7
de_Hans-Georg_Maaßen,7
de_Hans-Georg_Panczak,9
de_Hans-Hermann_Weyer,3
de_Hans-Joachim_Marseille,10
de_Hans-Olaf_Henkel,7
de_Hans-Peter_Friedrich,10
de_Hans_Albers,13
de_Hans_Brenner,10
de_Hans_Christian_Andersen,2
de_Hans_Entertainment,10
de_Hans_Filbinger,7
de_Hans_Frank,3
de_Hans_Fritzsche,7
de_Hans_Hartz_(Sänger),11
de_Hans_Kammler,4
de_Hans_Krebs_(Offizier),7
de_Hans_Meiser_(Moderator),8
de_Hans_Modrow,7
de_Hans_Moser,16
de_Hans_Peter_Doskozil,6
de_Hans_Peter_Hallwachs,8
de_Hans_Riegel,8
de_Hans_Rosenthal,7
de_Hans_Sachs,6
de_Hans_Sigl,13
de_Hans_Werner_Olm,14
de_Hans_im_Glück,8
de_Hansa_Rostock,8
de_Hanse,6
de_Hansestadt,2
de_Hansgrohe,6
de_Hansi_Hinterseer,2
de_Hansi_Jochmann,9
de_Hansi_Kraus,7
de_Hansjörg_Felmy,7
de_Hantaviren,11
de_Hanybal,3
de_Hapag-Lloyd,2
de_Hape_Kerkeling,14
de_Happy_New_Year_(2011),4
de_Harald_Glööckler,8
de_Harald_Juhnke,10
de_Harald_Krassnitzer,9
de_Harald_Leipnitz,10
de_Harald_Lesch,6
de_Harald_Reinl,7
de_Harald_Schmidt,10
de_Harald_V._(Norwegen),3
de_Harbin,5
de_Hard_Rock_Cafe,9
de_Hard_Rock_Stadium,10
de_Hardcore,7
de_Hardcore_Punk,3
de_Hardwell,7
de_Hardy_Krüger,8
de_Hardy_Krüger_junior,8
de_Harem,5
de_Harland_D._Sanders,4
de_Harlem,1
de_Harlem_Globetrotters,11
de_Harley-Davidson,6
de_Harmagedon,5
de_Harnblase,3
de_Harninkontinenz,5
de_Harnröhre,2
de_Harnwegsinfekt,6
de_Harold_&_Kumar,3
de_Harold_Faltermeyer,14
de_Harold_Ramis,5
de_Harper_Lee,6
de_Harpyie_(Mythologie),5
