words,ebay_trend,arima_trend,lstm_trend,sarima_trend,tes_trend,ma_trend
aa_Main_Page,False,False,True,False,False,False
ab_Авикипедиа:Описание,False,False,False,False,False,False
ab_Ихадоу_адаҟьа,True,False,False,False,False,False
ace_Beunantu:Asoë,False,False,False,False,False,False
ace_Ôn_Keuë,True,False,False,False,False,False
ace.m_Ôn_Keuë,False,False,False,False,False,False
ady_НэкӀубгъо_шъхьаӀ,False,False,False,False,False,False
af_Spesiaal:Boek,True,True,False,False,False,False
af_Spesiaal:CiteThisPage,True,True,False,False,False,False
af_Spesiaal:SkepRekening,False,False,False,True,False,False
af_Spesiaal:Soek,True,True,False,True,False,False
af_Spesiaal:Teken_in,False,False,False,False,False,False
af_Tuisblad,True,False,False,False,True,False
af_Wikipedia:General_disclaimer,True,False,False,False,False,False
af_Wikipedia:Omtrent,False,False,False,False,False,False
af.d_Tuisblad,False,False,False,True,False,False
af.m_-,False,False,False,False,False,False
af.m_Swangerskap,False,False,False,True,False,False
af.m_Tuisblad,False,False,False,True,True,False
af.q_Tuisblad,False,False,False,True,False,False
ak_Boa:Contents,False,False,False,False,False,False
ak_Krataafa_Titiriw,False,False,False,True,False,False
als_Europa,True,False,True,True,False,False
als_Spezial:Amälde,True,False,False,False,False,False
als_Spezial:Benutzerchonto_aaleege,False,False,False,False,False,False
als_Spezial:Sammlig,True,False,False,False,False,False
als_Spezial:Zitierhilf,False,False,False,False,False,False
als_Wikipedia:Houptsyte,False,False,True,False,False,False
als_Wikipedia:Impressum,False,False,False,True,False,False
als_Wikipedia:Stammtisch,False,False,False,True,False,False
als.m_Wikipedia:Houptsyte,True,False,False,False,False,False
am_ልዩ:CreateAccount,True,False,False,False,False,False
am_እርዳታ:ይዞታ,False,False,False,False,False,False
am_ዋናው_ገጽ,True,False,False,False,False,False
am.m_-,False,False,False,False,False,False
am.m_ልዩ:MobileMenu,False,False,False,True,False,False
am.m_ዋናው_ገጽ,True,False,False,False,False,False
