words,RMSE,trend_points
aa_Main_Page,25.26101817023772,2
ab_Авикипедиа:Описание,20.754345149416913,4
ab_Ихадоу_адаҟьа,17.71517456962535,4
ace_Beunantu:Asoë,20.880478644963613,4
ace_Ôn_Keuë,15.29933179618293,2
ace.m_Ôn_Keuë,16.750656405251934,1
ady_НэкӀубгъо_шъхьаӀ,13.363375603911257,1
af_Spesiaal:Boek,16.38322300017024,7
af_Spesiaal:CiteThisPage,15.74326267961956,6
af_Spesiaal:SkepRekening,24.649587224554615,3
af_Spesiaal:Soek,16.287749541578023,1
af_Spesiaal:Teken_in,25.738848356596137,4
af_Tuisblad,13.45031226473333,4
af_Wikipedia:General_disclaimer,22.054475759636095,2
af_Wikipedia:Omtrent,22.058357915935396,2
af.d_Tuisblad,24.749897789799853,7
af.m_-,13.03324065097685,1
af.m_Swangerskap,23.729297731130643,5
af.m_Tuisblad,15.703320819048272,4
af.q_Tuisblad,11.333424262672144,1
ak_Boa:Contents,18.960092404990686,1
ak_Krataafa_Titiriw,15.735304842647766,3
als_Europa,23.17589111653808,6
als_Spezial:Amälde,17.050964688538237,4
als_Spezial:Benutzerchonto_aaleege,17.1960962834003,6
als_Spezial:Sammlig,17.34666920946846,3
als_Spezial:Zitierhilf,22.531497768219946,7
als_Wikipedia:Houptsyte,19.250344989190886,3
als_Wikipedia:Impressum,19.887622558242548,3
als_Wikipedia:Stammtisch,18.855734382577126,3
als.m_Wikipedia:Houptsyte,13.843603844962702,4
am_ልዩ:CreateAccount,14.324367822093926,3
am_እርዳታ:ይዞታ,17.953141378744068,0
am_ዋናው_ገጽ,18.70461216960621,3
am.m_-,20.259259190352605,3
am.m_ልዩ:MobileMenu,20.247593060213507,4
am.m_ዋናው_ገጽ,17.81434656346008,3
"an_""Weird_Al""_Yankovic",18.45286488044455,4
an_$,18.694850921673403,3
an_'O_sole_mio,20.406762448970078,6
an_'O_surdato_'nnammurato,16.29363293355102,4
an_'s-Hertogenbosch,18.255846727530955,5
an_-dat,18.48756034572893,5
an_-iello,20.031257086420087,5
an_0,22.19104708411113,2
an_1,19.201601504169687,3
an_1.500_m_lisos,18.596640435945222,3
an_1.500_metros_lisos,18.276402651767764,4
an_1.500_metros_lisos_en_os_Chuegos_Olimpicos_d'Atenas_1896,17.995941195228433,2
an_1._Bundesliga,23.53374985610634,4
an_1._FC_Kaiserslautern,20.258750953270695,4
an_1._FSV_Mainz_05,20.438297735026524,3
an_10.000_metros_lisos,18.469753901764527,2
an_1000,19.754229135645886,3
an_1005,19.660733183933598,3
an_100_m._l.,20.25467290698126,3
an_100_metros_lisos,18.183018126007976,2
an_100_metros_lisos_(atletismo),18.025946828816128,2
an_101,21.004727921826575,2
an_1010,17.3027509964141,2
an_1011,16.464378407995117,2
an_1012,17.527369485659758,2
an_1016,18.225092187615047,4
an_1018,19.46682327823783,4
an_101_aC,20.67532121437675,3
an_1020,20.7442050165147,1
an_1023,20.220312584695943,2
an_1025,17.69542361924403,4
an_1026,18.11418171313785,2
an_102_aC,18.11395427074638,3
an_1034,16.52779279139377,6
an_1035,17.771378467927168,7
an_1036,17.823663105259122,1
an_1037,17.03330166324236,3
an_1038,16.345423958897232,5
an_1039,16.000761543895134,4
an_104,18.475009982057298,2
an_1040,17.42723828476315,1
an_1041,16.141436092943017,1
an_1042,15.85964210283626,1
an_1043,16.78734586450406,2
an_1044,16.996057155023163,4
an_1045,17.790625714948465,3
an_1046,15.556292464107258,3
an_1047,16.03031356711015,2
an_1050,15.882107031925917,4
an_1053,16.78333951324467,4
an_1054,17.276697926091295,4
an_1055,18.06486344512033,2
an_1056,11.13804719242606,2
an_1058,19.050470789625447,3
an_1059,18.8332249821009,5
an_106,19.582442542642337,5
an_1061,20.339841594956546,6
an_1062,17.974832476448512,4
an_1064,17.35244293555876,4
an_1065,18.30541053275764,6
an_1066,16.036276546995776,2
an_1067,16.39243608145323,4
an_1068,16.6091392773787,2
an_107,18.46151095795381,5
an_1070,19.02040793403174,2
an_1071,15.291755364101357,5
an_1072,16.10737998164583,4
an_1073,15.844593914705262,4
an_1074,17.06331392184145,4
an_1075,16.09783469823236,3
an_1076,19.28353867938844,4
an_1077,15.465898947631427,4
an_1079,19.5747648775281,5
an_108,20.172830371818776,5
an_1080,19.185856994327423,3
an_1081,19.616148072749628,2
an_1082,19.53334940215626,2
an_1083,18.718523541304425,5
an_1084,17.206470234096507,4
an_1085,19.091528116819426,4
an_1086,18.835712874753035,4
an_1087,19.829969955825995,5
an_1089,19.11792258504335,3
an_109,17.117273003269162,3
an_1090,15.218879841110486,3
an_1092,15.39869268704463,2
an_1093,15.590075654693416,2
an_1094,16.171291880753476,2
an_1095,15.994803316733352,3
an_1096,15.19239742172932,3
an_1097,16.13798073491936,3
an_1098,15.389645433973842,3
an_1099,17.546185323945604,4
an_10_aC,16.267018345955407,2
an_10_d'abiento,18.645476600161068,5
an_10_d'agosto,18.3320193312572,2
an_10_de_febrero,17.106160847648987,2
an_10_de_frebero,19.735051990835913,5
an_10_de_nobiembre,21.12655446161632,6
an_110,20.38551775865163,4
an_1103,17.568490981133316,2
an_1104,19.69488311985321,2
an_1105,16.584420678413167,1
an_1107,19.301238644252326,2
an_1108,15.740679147492855,2
an_1109,15.881945042916373,2
an_111,16.565229904649236,3
an_1110,14.901366374389175,2
an_1111,16.625569297519935,2
an_1112,15.509507640634979,2
an_1113,15.189827715598655,2
an_1114,15.34134378358158,3
an_1115,15.918968122385596,2
an_1116,15.82511322827179,2
an_1122,21.126095929461158,3
an_1123,19.439139816591318,3
an_1125,21.551781717724285,5
an_1126,22.12141647173413,5
an_1127,20.03925985123327,4
an_1128,18.081628028402108,3
an_1129,19.654210047661945,3
an_113,17.316474436639773,5
an_1130,20.00161201270294,4
an_1131,20.542936179339982,5
an_1133,18.70494155986632,3
an_1136,19.092000985328387,3
an_1137,18.904468559206734,6
an_1138,19.04543211841354,2
an_1145,22.326295894956488,3
an_1147,18.529326952043085,3
an_1150,15.348050406346879,4
an_1154,13.888263892047313,2
an_1157,19.09686546261763,4
an_1158,19.67578298030859,5
an_1159,18.629756077467444,4
an_116,18.044417286991777,4
an_1168,19.800386580703453,3
an_1174,16.08952828386927,3
an_1175,18.162784658338794,2
an_1176,16.84656969870315,3
an_1177,16.212381492376533,3
an_1178,17.667199256350344,2
an_1179,16.884210400371188,1
an_118,17.461372158053692,4
an_1180,16.0152020011794,3
an_1181,15.60633855893977,2
an_1182,16.734514287579216,3
an_1183,17.507549077241713,3
an_1188,19.232623231458224,3
an_1192,17.80657410791919,2
an_1195,18.335709671353072,3
an_1196,19.478261604566793,3
an_1198,14.714170352579588,3
an_11_d'abiento,22.782206570745004,7
an_11_d'abril,22.279079726460697,5
an_11_d'agosto,21.95358969959612,3
an_11_d'aviento,22.642568561033972,5
an_11_d'octubre,19.282187547140666,1
an_11_d'otubre,15.639286836920247,3
an_11_de_chinero,21.114232777300046,3
an_11_de_chulio,19.131597532771313,3
an_11_de_chuliol,21.514283338891648,3
an_11_de_chunio,21.702690369214462,2
an_11_de_chunyo,22.33669726103751,3
an_11_de_febrero,20.877191256258502,4
an_11_de_frebero,16.953398398547947,3
an_11_de_marzo,19.24726206337085,2
an_11_de_mayo,19.738287315002726,4
an_11_de_noviembre,20.28966452483319,5
an_11_de_setiembre,16.80930707773255,2
an_120,18.432195201310286,3
an_1201,18.863884369174176,5
an_1202,19.290224601009413,4
an_1206,19.34263522370712,5
an_1207,19.234086722381914,2
an_1208,19.47259230369482,1
an_1209,18.30386072247065,3
an_1210,18.298358983086658,3
an_1211,16.253224201481114,2
an_1212,16.714385821510568,2
an_1213,16.65780777957511,2
an_1214,16.42239298348866,1
an_1215,16.814094880238684,4
an_1216,16.584692960905524,1
an_1217,20.91961492338579,5
an_1218,20.283232712377533,4
an_1219,20.86166832893167,3
an_122,20.404777117399462,5
an_1220,19.24191456783853,3
an_123,18.9353112755221,4
an_1230,19.242115787604945,4
an_1231,17.702407754044945,3
an_1232,20.371731441015466,4
an_1234,21.534217082785737,5
an_1235,21.119576143851237,3
an_1236,20.848984653425823,2
an_1239,20.337570596014743,4
an_124,18.60395812878887,3
an_1241,19.203827698978507,3
an_1245,17.55891155727712,2
an_1246,18.769469674397648,3
an_1249,18.600232701317854,4
an_1250,17.915877416282143,3
an_1251,18.529751615963153,2
an_1252,17.843884984160137,3
an_1254,17.82251225263523,2
an_1257,22.141267048814154,2
an_1259,22.24452229225889,4
an_126,23.89543750103727,3
an_1260,22.299772691788842,2
an_1261,19.926866569665442,3
an_1262,18.484233313451814,2
an_1263,16.984972202645828,3
an_1264,19.123981921248028,1
an_1265,21.117704595108837,1
an_1266,24.25198657712446,1
an_1267,22.690046137199857,2
an_1268,21.624993165609574,1
an_1269,23.931841476214384,3
an_127,22.15448106912479,2
an_Biquipedia,22.728430430167972,4
an_Bit,21.172709868819208,5
an_Descusión_usuario:EBRO,24.663592024539287,6
an_Descusión_usuario:Makecat-bot,13.472427787376969,3
an_Especial:BuscarPorMIME/image/gif,24.332005216401363,5
an_Especial:BuscarPorMIME/image/png,18.149070282227882,3
an_Especial:BuscarPorMIME/image/svg+xml,22.486074216439384,6
an_Especial:Citar,21.635328307274186,2
an_Especial:Contrebucions/!proxy,18.2905355433438,4
an_Especial:Contrebucions/$$$Marlon$$$30,20.293595818792255,4
an_Especial:Contrebucions/(66666)_Cernunnos,21.02786958301977,2
an_Especial:Contrebucions/-=FearLess1945=-,18.360248243783182,3
an_Especial:Contrebucions/-WolliWolli-,17.433347146298615,1
an_Especial:Contrebucions/-revi,19.21721943070158,3
an_Especial:Contrebucions/Addihockey10_(automated),15.616098395672465,3
an_Especial:Contrebucions/Alecs.bot,24.977596085865628,5
an_Especial:Contrebucions/Alexbot,13.3502590580184,2
an_Especial:Contrebucions/AlleborgoBot,14.00029713048026,3
an_Especial:Contrebucions/Almabot,20.626381223437278,4
an_Especial:Contrebucions/AraBot,16.266274929080105,4
an_Especial:Contrebucions/Archaeodontosaurus,20.9995527129083,5
an_Especial:Contrebucions/AstaBOTh15,15.096672477273202,4
an_Especial:Contrebucions/AvicBot,18.42782484848304,4
an_Especial:Contrebucions/AvocatoBot,20.119640683217938,6
an_Especial:Contrebucions/BOTarate,16.88804332386437,2
an_Especial:Contrebucions/BotMultichill,16.85153201476411,3
an_Especial:Contrebucions/Byrialbot,18.05214763366848,7
an_Especial:Contrebucions/CHV,18.447204068162062,2
an_Especial:Contrebucions/CarsracBot,15.47438797175714,7
an_Especial:Contrebucions/Cembo123,17.43979001809007,2
an_Especial:Contrebucions/ChessBOT,17.894643355563563,3
an_Especial:Contrebucions/Chlewbot,18.333361585235934,5
an_Especial:Contrebucions/Chris_die_Seele,21.166770235831933,7
an_Especial:Contrebucions/ChuispastonBot,16.225041146608934,2
an_Especial:Contrebucions/Cocedi,20.61526080386194,3
an_Especial:Contrebucions/CocuBot,17.14807733314048,5
an_Especial:Contrebucions/Comandancia,19.4873839451943,3
an_Especial:Contrebucions/CommonsDelinker,23.647424880870073,6
an_Especial:Contrebucions/Culex,15.965324221079644,2
an_Especial:Contrebucions/Cyprianus_Marcus,22.35214689667317,3
an_Especial:Contrebucions/DEagleBot,22.040599176424585,4
an_Especial:Contrebucions/Diego_Grez_Bot,18.06433724538622,3
an_Especial:Contrebucions/DirlBot,19.841343571838102,5
an_Especial:Contrebucions/DixonDBot,28.039386568819303,7
an_Especial:Contrebucions/EBRO,15.507817057944054,5
an_Especial:Contrebucions/Ebrambot,19.045685815173726,3
an_Especial:Contrebucions/EduardoGG,12.912989001948024,5
an_Especial:Contrebucions/Egmontbot,22.325188184970266,4
an_Especial:Contrebucions/EmausBot,15.677804804027422,2
an_Especial:Contrebucions/Escarbot,16.318523973783307,2
an_Especial:Contrebucions/Etemenanki,17.245821212727076,4
an_Especial:Contrebucions/FoxBot,13.136904580839753,2
an_Especial:Contrebucions/Gato_Preto,14.499720162226659,5
an_Especial:Contrebucions/GhalyBot,16.829469131501888,6
an_Especial:Contrebucions/HerculeBot,17.67353412690641,4
an_Especial:Contrebucions/HiW-Bot,17.502966513122587,4
an_Especial:Contrebucions/Invadibot,19.38884043015883,5
an_Especial:Contrebucions/JAnDbot,13.313600442134993,2
an_Especial:Contrebucions/JackieBot,14.636113002223604,7
an_Especial:Contrebucions/Jembot,20.945079098929117,4
an_Especial:Contrebucions/Jpbot,18.46449499829446,5
an_Especial:Contrebucions/Juanpabl,19.504602200650012,5
an_Especial:Contrebucions/Justincheng12345-bot,14.210559912415224,3
an_Especial:Contrebucions/KLBot2,18.111550976444317,4
an_Especial:Contrebucions/Lascorz,15.692227555726054,1
an_Especial:Contrebucions/Le_Pied-bot~anwiki,17.331195471577946,2
an_Especial:Contrebucions/Loveless,14.167533980102526,3
an_Especial:Contrebucions/LucienBOT,14.942251151951165,3
an_Especial:Contrebucions/Luckas-bot,18.972634038853855,4
an_Especial:Contrebucions/MABot,18.72733827505576,2
an_Especial:Contrebucions/MahdiBot,21.222058235280706,2
an_Especial:Contrebucions/Maintenance_script,17.502318262817816,2
an_Especial:Contrebucions/Makecat-bot,15.053764981175696,4
an_Especial:Contrebucions/MediaWiki_default,20.128245855993374,3
an_Especial:Contrebucions/MediaWiki_message_delivery,14.740739434457918,3
an_Especial:Contrebucions/RadiX,14.346255942019916,4
an_Especial:Contrebucions/Richardkiwi,17.176627699848556,3
an_Especial:Contrebucions/Samat,16.412329080903287,1
an_Especial:Contrebucions/Shiesmine,16.437595419840953,2
an_Especial:Contrebucions/Thommy9,18.692558297389972,5
an_Especial:Contrebucions/Willtron,21.376520057913662,2
an_Especial:Contrebucions/Zumalabe,18.802065676662654,3
an_Especial:Creyar_cuenta,15.196806392372396,5
an_Especial:Encetar_sesión,24.91332605588355,3
an_Especial:Libro,15.89902039038624,5
an_Especial:Lista_d'usuarios,18.867317931901287,1
an_Especial:Todas_as_pachinas,23.831764287537215,1
an_Especial:Zaguers_cambeos,19.134240431419563,4
an_Imachen:IP_Address_Match.png,20.687890519710972,5
an_Imachen:Pix.gif,23.78666193757371,2
an_Portal:Portalada,21.448222528623738,5
an_Usuario:!_God~anwiki,20.17036813753343,5
an_Usuario:*Surak*,16.390171279441617,5
an_Usuario:-jem-,19.367967452590886,1
an_Usuario:-jkb-,23.6131536978876,2
an_Usuario:-revi,23.396918988559726,3
an_Usuario:Archaeodontosaurus,19.73895796867394,3
an_Usuario:Beyond_My_Ken,18.590419078623178,4
an_Usuario:CHV,15.198032712701757,2
an_Usuario:Chlewbot,24.30124385451723,1
an_Usuario:CommonsDelinker,20.18613274786696,2
an_Usuario:Culex,16.822018366843537,4
an_Usuario:DEagleBot,21.468340664537294,3
an_Usuario:Gato_Preto,24.193604528214532,6
an_Usuario:Isidre_blanc,23.77607120953062,3
an_Usuario:Ivanhercaz,20.42438637845839,1
an_Usuario:JCIV,28.027898507904343,3
an_Usuario:Jbribeiro1,16.501823284358025,2
an_Usuario:Jcb,14.584743138523883,2
an_Usuario:Jembot,17.567032556987016,3
an_Usuario:Jmvkrecords,18.76307192652119,4
an_Usuario:Juanpabl,20.001561585199127,4
an_Usuario:Krassotkin,14.218984925698754,4
an_Usuario:Litlok,19.97345293356516,4
an_Usuario:MahdiBot,18.80332297244702,2
an_Usuario:Maintenance_script,18.809510241988907,2
an_Usuario:Makecat-bot,18.837898938269436,3
an_Usuario:Richardkiwi,18.76844306859786,2
an_Usuario:Samat,19.092827465063973,2
an_Usuario:Taketa,16.69673808462081,2
an_Usuario:Xeno,18.362061687793584,3
an_Wikipedia:Abiso_legal,21.963483737808644,3
an_Wikipedia:Aduya,12.047577092322456,2
an_Wikipedia:Almenistrador,18.094324822488606,3
an_Wikipedia:Bots,11.901504676604919,3
an_Wikipedia:Burocratas,15.386637504804346,3
an_Wikipedia:Candidaturas_a_administradors,19.22775336142907,4
an_Wikipedia:Comunidat,23.222943882698214,5
an_Wikipedia:Tabierna,16.85743380909514,4
an_Wikipedia:Tabierna/Aduya,22.86451925004083,5
an_Wikipedia:Tabierna/Noticias,22.661153196706678,3
an_Wikipedia:Tabierna/Tecnica,20.356724548666552,3
an_Wikipedia:Uso_d'a_luenga,11.087556717083007,2
ang_Help:Innoþ,21.59842313296851,4
ang_Hēafodtramet,20.38817833584661,4
ang_Wikipǣdia:Gemǣnscipes_Ingang,24.117579657106013,4
ang.d_Hēafodtramet,13.784995131544255,5
ang.m_Hēafodtramet,11.267637759242827,4
ang.q_Hēafodsīde,20.236667343024212,2
ar_11_يناير,27.49146477333842,10
ar_1_يناير,22.629529773083824,8
ar_2008,18.625540674413962,5
ar_2016,18.235925743182634,5
ar_6_يناير,20.762682652385443,1
ar_8_يناير,22.749183109705786,13
ar_9_يناير,25.73992204783435,10
ar_A,20.60493498864286,5
ar_F,24.00585476787852,3
ar_Y,24.019186995503276,4
ar_آدم_سميث,20.824471143755396,1
ar_آر_إم_إس_تيتانيك,11.69975625426314,3
ar_آسيا_الوسطى,18.487815959775933,4
ar_آشور,19.783895307474822,2
ar_آل_الأسد,20.005757070796626,3
ar_آل_باتشينو,19.548487393425898,3
ar_آمال_ماهر,16.51381631420024,4
ar_آن_ملكة_بريطانيا_العظمى,20.089106845265924,3
ar_آي_فون,22.80789077889132,5
ar_آيا_صوفيا,19.04092724248706,3
ar_آيسلندا,20.578459186180954,3
ar_أبراهام_لينكون,19.728291657340083,2
ar_أبو_الريحان_البيروني,21.15166762882962,8
ar_أبو_العتاهية,22.41879916669458,3
ar_أبو_القاسم_الشابي,28.39989009752329,5
ar_أبو_الهول,24.218701687404998,4
ar_أبو_بكر_الرازي,22.306737509206258,6
ar_أبو_تمام,17.759055441231236,6
ar_أبو_جهل,20.25154220662391,2
ar_أبو_ذر_الغفاري,17.59257620815103,5
ar_أبو_زيد_الهلالي,18.973965971699887,6
ar_أبو_سفيان_بن_حرب,25.03689440509135,3
