words,rmse,trend_points
aa_Main_Page,30.470484493954636,4
ab_Авикипедиа:Описание,23.92300906578983,6
ab_Ихадоу_адаҟьа,20.895394296472052,5
ace_Beunantu:Asoë,23.963348536123867,8
ace_Ôn_Keuë,17.30476446027958,8
ace.m_Ôn_Keuë,18.33314143813823,5
ady_НэкӀубгъо_шъхьаӀ,14.88986541185422,7
af_Spesiaal:Boek,23.31032487451366,8
af_Spesiaal:CiteThisPage,22.322378166787495,6
af_Spesiaal:SkepRekening,31.878159556564093,10
af_Spesiaal:Soek,18.53965033592638,11
af_Spesiaal:Teken_in,33.311657230069926,8
af_Tuisblad,19.0207226362617,7
af_Wikipedia:General_disclaimer,23.191605859174125,6
af_Wikipedia:Omtrent,22.719169562519166,8
af.d_Tuisblad,28.966669697070987,9
af.m_-,17.81374589056426,4
af.m_Swangerskap,27.437698806640796,9
af.m_Tuisblad,13.314216459382273,10
af.q_Tuisblad,13.193091297641281,9
ak_Boa:Contents,20.42092610546058,8
ak_Krataafa_Titiriw,19.616843973259158,9
als_Europa,21.47289226519266,9
als_Spezial:Amälde,19.98472252281285,6
als_Spezial:Benutzerchonto_aaleege,20.291226148896182,6
als_Spezial:Sammlig,21.135507628404277,6
als_Spezial:Zitierhilf,26.92500073063961,8
als_Wikipedia:Houptsyte,23.024033266243332,8
als_Wikipedia:Impressum,20.28636995924768,9
als_Wikipedia:Stammtisch,16.713995756314795,9
als.m_Wikipedia:Houptsyte,14.621739825215,3
am_ልዩ:CreateAccount,17.00735259681181,6
am_እርዳታ:ይዞታ,21.47669618407657,6
am_ዋናው_ገጽ,19.05918737858432,3
am.m_-,22.690624043309533,6
am.m_ልዩ:MobileMenu,16.2534354299339,10
am.m_ዋናው_ገጽ,19.53782828960475,6
"an_""Weird_Al""_Yankovic",18.512872604651914,8
an_$,19.114421479605888,9
an_'O_sole_mio,20.86715081824617,9
an_'O_surdato_'nnammurato,17.9113354183403,8
an_'s-Hertogenbosch,17.983853292801566,10
an_-dat,19.858962393649325,8
an_-iello,20.939371425153453,6
an_0,21.887989451396763,7
an_1,20.184737857403498,5
an_1.500_m_lisos,17.078189851604233,6
an_1.500_metros_lisos,19.13595947281556,9
an_1.500_metros_lisos_en_os_Chuegos_Olimpicos_d'Atenas_1896,18.97934328421176,7
an_1._Bundesliga,24.100106282073813,5
an_1._FC_Kaiserslautern,18.36416818654134,9
an_1._FSV_Mainz_05,18.704424160696103,9
an_10.000_metros_lisos,18.62318412393801,5
an_1000,23.19020919280174,8
an_1005,20.518695663573286,7
an_100_m._l.,21.15949827241518,6
an_100_metros_lisos,20.196296267751805,10
an_100_metros_lisos_(atletismo),18.763772768297986,5
an_101,17.81648061407174,8
an_1010,16.054523865705878,3
an_1011,15.738331946856094,7
an_1012,18.387884023617957,4
an_1016,16.360485052748576,7
an_1018,18.412191832244307,7
an_101_aC,20.138890215096847,8
an_1020,23.215415396459534,9
an_1023,21.886105367717267,8
an_1025,16.79839058440129,7
an_1026,17.565501617570455,7
an_102_aC,20.67574158952687,5
an_1034,15.098651505410796,8
an_1035,13.495958501297524,12
an_1036,16.229971773765243,9
an_1037,13.883708039356357,7
an_1038,14.083595630429144,6
an_1039,14.773503516527066,3
an_104,18.841292424779585,4
an_1040,18.929612189987246,5
an_1041,16.73013477052058,7
an_1042,17.642578723089784,6
an_1043,18.016961151235872,7
an_1044,19.73981343728478,7
an_1045,20.82741411428,9
an_1046,18.517618454705403,7
an_1047,18.777065468311292,7
an_1050,17.94290821639026,12
an_1053,17.036492937652138,6
an_1054,15.683091119406203,8
an_1055,17.34358136104824,7
an_1056,11.975642611386622,8
an_1058,13.789772395483817,7
an_1059,17.833322988505955,7
an_106,17.930938833921157,8
an_1061,20.4155076579923,7
an_1062,16.518931880759258,8
an_1064,17.12274427152942,7
an_1065,15.542857263264722,10
an_1066,16.3831350656979,11
an_1067,17.50715972296813,7
an_1068,16.554974381666632,7
an_107,20.33581802303048,5
an_1070,21.77878574788757,8
an_1071,18.857478471451532,8
an_1072,18.619928919418577,5
an_1073,19.98704476336111,10
an_1074,19.226529448326612,5
an_1075,18.72392615512579,6
an_1076,20.822143598107406,4
an_1077,18.758558934777124,10
an_1079,20.200742000279035,9
an_108,21.35792601174665,10
an_1080,19.57643472290731,6
an_1081,18.8296837676691,5
an_1082,16.87287574630545,7
an_1083,17.73251964587423,7
an_1084,13.933349027503436,10
an_1085,18.44217914520106,8
an_1086,16.382571846037955,7
an_1087,18.81329248511875,7
an_1089,18.261372885228454,8
an_109,18.664376948893437,5
an_1090,16.00237828763831,6
an_1092,17.763370530217884,9
an_1093,16.342520679118927,10
an_1094,15.639673203448451,9
an_1095,14.96207100223057,7
an_1096,12.17663877935008,7
an_1097,15.51220994318103,7
an_1098,13.786623030615816,5
an_1099,13.273032879801555,9
an_10_aC,14.590477917646671,8
an_10_d'abiento,21.803207526172393,5
an_10_d'agosto,19.931561715327025,8
an_10_de_febrero,16.665770333332887,10
an_10_de_frebero,21.218190588169357,9
an_10_de_nobiembre,22.700568734458113,9
an_110,22.474537489656985,7
an_1103,21.191843824685424,6
an_1104,23.80126145437099,7
an_1105,18.876249801922352,9
an_1107,18.640763999661736,9
an_1108,16.617528205911707,6
an_1109,15.99716161143244,7
an_111,17.66617344484914,8
an_1110,15.848990245289935,8
an_1111,14.37881477041556,8
an_1112,15.62417223052178,5
an_1113,13.011058872474697,5
an_1114,12.924057612487974,8
an_1115,13.90032197430034,7
an_1116,15.908407228382265,6
an_1122,20.241939045147888,7
an_1123,18.184797397747456,6
an_1125,20.243164638856754,7
an_1126,17.714962077208288,8
an_1127,18.434172623853918,5
an_1128,13.867897118632225,12
an_1129,18.785242495973144,8
an_113,17.23750466087217,6
an_1130,19.31912151596688,6
an_1131,19.44371761510816,5
an_1133,19.84368798743473,7
an_1136,17.464649753410534,7
an_1137,20.601093832675467,7
an_1138,19.028642044554072,9
an_1145,19.927159218453156,6
an_1147,15.626199878334868,7
an_1150,15.830321159752847,1
an_1154,15.098046085182652,7
an_1157,17.71371811590291,8
an_1158,19.169465227318938,5
an_1159,17.970921229103684,6
an_116,17.005236701671464,8
an_1168,18.666083712624143,7
an_1174,13.883990591816282,6
an_1175,16.522705552312267,9
an_1176,14.908060099134985,8
an_1177,15.968799729982027,4
an_1178,17.100646978662745,6
an_1179,15.672433219889221,6
an_118,17.645404016727674,5
an_1180,15.424719744972197,5
an_1181,14.819101087491406,8
an_1182,17.021759566078043,6
an_1183,16.4193485559535,6
an_1188,18.02982862800014,9
an_1192,18.56298308946236,4
an_1195,19.43364676471996,5
an_1196,19.84175275138918,7
an_1198,17.98038521088617,7
an_11_d'abiento,21.120503317310252,10
an_11_d'abril,22.37357288122616,8
an_11_d'agosto,22.775361565808478,8
an_11_d'aviento,21.861738311097405,6
an_11_d'octubre,20.590639067168862,10
an_11_d'otubre,17.349902075942403,5
an_11_de_chinero,20.313546589988185,7
an_11_de_chulio,18.849117029637416,7
an_11_de_chuliol,20.910868688539303,5
an_11_de_chunio,19.060563882654765,5
an_11_de_chunyo,23.998976045268385,3
an_11_de_febrero,18.383786375737472,4
an_11_de_frebero,19.515540595522033,5
an_11_de_marzo,19.65418088396779,6
an_11_de_mayo,19.6790474121295,7
an_11_de_noviembre,20.259940612446968,5
an_11_de_setiembre,18.963068130671456,7
an_120,18.486091320107942,5
an_1201,14.32708180981791,6
an_1202,16.265822049682352,5
an_1206,16.563671251745124,5
an_1207,16.707653562807184,11
an_1208,16.162299788397494,6
an_1209,16.74465771301511,9
an_1210,16.62557092329955,8
an_1211,15.554207805106364,6
an_1212,16.752377824028738,8
an_1213,15.29093886363312,7
an_1214,15.749101586699634,6
an_1215,15.019742297290968,5
an_1216,14.542668932214788,4
an_1217,19.6627969474581,8
an_1218,18.52253765719205,9
an_1219,20.579557475565476,8
an_122,17.072893737248663,10
an_1220,16.42451199960887,7
an_123,20.477422191785827,7
an_1230,19.120068366102526,7
an_1231,16.877425150422187,8
an_1232,20.69783476891304,8
an_1234,21.574441669826875,9
an_1235,23.655510757653193,7
an_1236,21.093651106965684,6
an_1239,20.67330320050016,6
an_124,15.546887220749058,10
an_1241,19.0949133381114,6
an_1245,18.371168002297512,7
an_1246,21.050098732966656,7
an_1249,20.54093509151209,6
an_1250,20.518654675965855,8
an_1251,22.528831139160367,6
an_1252,23.0924477237651,7
an_1254,22.427100909438785,8
an_1257,25.38429170413515,12
an_1259,23.471557379324572,8
an_126,20.39699705865667,5
an_1260,20.460807084330295,5
an_1261,15.357827265149462,7
an_1262,16.0360646650667,8
an_1263,15.839379914827045,7
an_1264,18.14002807820805,9
an_1265,22.831800905270867,8
an_1266,26.855144654888047,6
an_1267,22.906155866308342,5
an_1268,23.100337611380493,9
an_1269,21.500563716737826,11
an_127,21.02999948969284,12
an_Biquipedia,22.39712713903707,2
an_Bit,17.280253707459988,7
an_Descusión_usuario:EBRO,33.73790449099293,6
an_Descusión_usuario:Makecat-bot,14.084772192197095,5
an_Especial:BuscarPorMIME/image/gif,21.10534757469417,7
an_Especial:BuscarPorMIME/image/png,14.982804112053374,4
an_Especial:BuscarPorMIME/image/svg+xml,17.435854488315186,4
an_Especial:Citar,22.568220761133585,7
an_Especial:Contrebucions/!proxy,18.753109140393807,8
an_Especial:Contrebucions/$$$Marlon$$$30,19.510119577524044,7
an_Especial:Contrebucions/(66666)_Cernunnos,18.365884295019374,7
an_Especial:Contrebucions/-=FearLess1945=-,18.730013144144696,7
an_Especial:Contrebucions/-WolliWolli-,18.874257593372196,14
an_Especial:Contrebucions/-revi,18.962301823867946,10
an_Especial:Contrebucions/Addihockey10_(automated),17.63061801425691,4
an_Especial:Contrebucions/Alecs.bot,23.642487579119468,6
an_Especial:Contrebucions/Alexbot,15.56921580417208,5
an_Especial:Contrebucions/AlleborgoBot,17.557523629743464,7
an_Especial:Contrebucions/Almabot,22.164185775367287,7
an_Especial:Contrebucions/AraBot,19.469576379760902,9
an_Especial:Contrebucions/Archaeodontosaurus,19.826850901279215,6
an_Especial:Contrebucions/AstaBOTh15,19.17592172180392,9
an_Especial:Contrebucions/AvicBot,16.789243128333688,6
an_Especial:Contrebucions/AvocatoBot,25.429644125234255,5
an_Especial:Contrebucions/BOTarate,15.100353663986445,4
an_Especial:Contrebucions/BotMultichill,17.907256345553257,3
an_Especial:Contrebucions/Byrialbot,18.168947255370828,7
an_Especial:Contrebucions/CHV,22.526797766959685,9
an_Especial:Contrebucions/CarsracBot,16.828707693779734,6
an_Especial:Contrebucions/Cembo123,21.178525793626125,4
an_Especial:Contrebucions/ChessBOT,21.312146607911767,6
an_Especial:Contrebucions/Chlewbot,20.427862916274456,11
an_Especial:Contrebucions/Chris_die_Seele,23.882357977749745,9
an_Especial:Contrebucions/ChuispastonBot,18.530760129012794,8
