Unnamed: 0,words,rmse,trend_points
0,commons.m_File:La_fessée_à_l'école.ogv,18.70271380933027,8
1,commons.m_File:Leonardo_da_Vinci_(1452-1519)_-_The_Last_Supper_(1495-1498).jpg,20.186713952079955,5
2,commons.m_File:Licensing_tutorial_en.svg,21.22364079816453,5
3,commons.m_File:Linux_Distribution_Timeline.svg,18.902320279036232,9
4,commons.m_File:Loading_icon.gif,25.963643221087622,6
5,commons.m_File:Logo_NIKE.svg,22.97246113044918,8
6,commons.m_File:Map_of_USA_with_state_names.svg,25.855222190524348,9
7,commons.m_File:Map_of_the_Great_Wall_of_China.jpg,20.374581225664762,4
8,commons.m_File:Massages.ogv,19.839275083708927,10
9,commons.m_File:Masturbation.jpg,21.92600285326632,7
10,commons.m_File:McDonalds_in_St_Petersburg_2004.JPG,22.742941307367104,3
11,commons.m_File:Microsoft_logo_(1987).svg,12.773025957596664,5
12,"commons.m_File:Mona_Lisa,_by_Leonardo_da_Vinci,_from_C2RMF_retouched.jpg",21.533842750809303,7
13,commons.m_File:Mona_Lisa.jpg,25.39354721634899,5
14,commons.m_File:Moscow_Ring_Railway_full_trip_-_view_from_ES2G_train.webm,24.701670983669054,10
15,commons.m_File:Mousquetaire_au_restaurant_part_2.ogv,16.941646513203533,6
16,commons.m_File:Museo_Ugo_Guidi_interno.jpg,22.036788486483747,10
17,commons.m_File:Orion_Head_to_Toe.jpg,24.223969685061284,11
18,commons.m_File:Osmanu-vilajeti-kosova.svg,23.060952405808557,7
19,commons.m_File:Paris_department_land_cover_location_map.jpg,28.336042928266732,7
20,commons.m_File:Periodic-table.jpg,24.734096230502328,9
21,commons.m_File:Pietra_Ugo_Guidi.jpg,24.82645127819982,8
22,commons.m_File:Poland_adm_location_map.svg,19.195722585103344,6
23,commons.m_File:Prevailing_world_religions_map_rus.png,22.443562700248336,7
24,commons.m_File:Project_1164_Moskva_2011.jpg,23.647633604630126,8
25,commons.m_File:Quantum_superposition_of_states_and_decoherence.ogv,24.72200940587643,11
26,commons.m_File:Queen_Liliuokalani.jpg,13.130643285972257,82
27,commons.m_File:Ragnar_Lodbroks_död_by_Hugo_Hamilton.jpg,17.719395775554762,3
28,commons.m_File:Rus-1015-1113.png,20.251116786164573,3
29,"commons.m_File:Russia._Moscow_Region._Winter_pine_wood,_lake_Kratovskoe_area.JPG",13.675652505611296,3
