words,RMSE,trend_points
aa_Main_Page,21.275869282555472,3
ab_Авикипедиа:Описание,18.22023250819946,9
ab_Ихадоу_адаҟьа,26.3119645679363,7
ace_Beunantu:Asoë,16.33310274982003,4
ace_Ôn_Keuë,10.666452485595952,5
ace.m_Ôn_Keuë,12.692512001050678,3
ady_НэкӀубгъо_шъхьаӀ,8.914508607956611,5
af_Spesiaal:Boek,26.122997579411557,9
af_Spesiaal:CiteThisPage,23.265392203855015,5
af_Spesiaal:SkepRekening,21.536267148876437,4
af_Spesiaal:Soek,21.034316164941284,6
af_Spesiaal:Teken_in,26.057511590519958,7
af_Tuisblad,19.627287493117635,13
af_Wikipedia:General_disclaimer,21.214906738846402,7
af_Wikipedia:Omtrent,17.61943000166503,6
af.d_Tuisblad,19.685115390068,6
af.m_-,12.019929050023277,6
af.m_Swangerskap,18.123229720755294,3
af.m_Tuisblad,137.13615263166784,12
af.q_Tuisblad,73.08220499267742,4
ak_Boa:Contents,16.035691356080534,3
ak_Krataafa_Titiriw,21.554718087689277,6
als_Europa,16.564914069019085,9
als_Spezial:Amälde,14.451671417865489,8
als_Spezial:Benutzerchonto_aaleege,14.744211757580734,5
als_Spezial:Sammlig,15.079007739818241,4
als_Spezial:Zitierhilf,19.116161302705425,6
als_Wikipedia:Houptsyte,24.636425651642494,7
als_Wikipedia:Impressum,19.738561343821253,4
als_Wikipedia:Stammtisch,49.515262613958356,9
als.m_Wikipedia:Houptsyte,13.079409851804812,6
am_ልዩ:CreateAccount,57.765320430283296,7
am_እርዳታ:ይዞታ,23.361242387537043,6
am_ዋናው_ገጽ,315.14791435683804,7
am.m_-,17.77784839054015,5
am.m_ልዩ:MobileMenu,15.82208272153259,3
am.m_ዋናው_ገጽ,15.229510871486381,6
"an_""Weird_Al""_Yankovic",15.478240292297617,5
an_$,12.918760262051194,6
an_'O_sole_mio,14.853959512440783,4
an_'O_surdato_'nnammurato,14.078749288601061,4
an_'s-Hertogenbosch,19.841141142736166,10
an_-dat,13.993181265601791,8
an_-iello,14.52401472677547,5
an_0,14.99559666455197,4
an_1,13.517058475535555,7
an_1.500_m_lisos,12.176254061399078,4
an_1.500_metros_lisos,12.854383359353157,7
an_1.500_metros_lisos_en_os_Chuegos_Olimpicos_d'Atenas_1896,12.672861327059396,4
an_1._Bundesliga,17.12832262324184,2
an_1._FC_Kaiserslautern,12.994506531618068,4
an_1._FSV_Mainz_05,12.417614791279238,5
an_10.000_metros_lisos,12.760044321858572,7
an_1000,14.965749047543492,4
an_1005,13.817094840004605,3
an_100_m._l.,16.69824344226155,4
an_100_metros_lisos,12.975004063976753,6
an_100_metros_lisos_(atletismo),11.083458630462358,3
an_101,12.003694457652525,5
an_1010,11.658820214963185,9
an_1011,11.120282282852136,9
an_1012,12.2673940281198,6
an_1016,11.216806592984618,30
an_1018,12.380098708573579,8
an_101_aC,14.432321287421574,6
an_1020,15.956383889172953,4
an_1023,14.942823195509352,6
an_1025,12.567596504655471,6
an_1026,12.2793359609793,6
an_102_aC,14.492948640998918,6
an_1034,10.937717170421282,5
an_1035,11.762068256773087,2
an_1036,11.128298044525089,3
an_1037,18.9331730739645,6
an_1038,9.882948941982754,2
an_1039,10.622280408315879,3
an_104,12.70365202906578,6
an_1040,12.974504805224498,6
an_1041,10.942462344354176,6
an_1042,12.025244389145936,6
an_1043,12.169175243332097,5
an_1044,13.081214439878641,8
an_1045,14.909308601224774,6
an_1046,13.69522125695441,6
an_1047,12.77868039413405,4
an_1050,12.079433931613792,5
an_1053,11.704962413301653,6
an_1054,11.361456639664125,5
an_1055,12.743240971904362,5
an_1056,8.30862364610564,5
