Unnamed: 0,words,RMSE,trend_points
0,de_Terminator:_Die_Erlösung,12.440495674544113,3
1,de_Terminator:_The_Sarah_Connor_Chronicles,14.131513207907991,2
2,de_Terminator_2_–_Tag_der_Abrechnung,27.990488687544516,5
3,de_Termiten,12.275201951024926,8
4,de_Terra_Nova_(Fernsehserie),18.345391515793487,5
5,de_Terra_X,14.436257696489124,10
6,de_Terrence_Howard,17.924071455034326,7
7,de_Terrier,14.918617268879395,6
8,de_Terror,15.94067738781646,11
9,de_Terroranschlag_in_Istanbul_am_1._Januar_2017,36.7167830793209,8
10,de_Terroranschläge_in_Brüssel_am_22._März_2016,67.14875383362353,10
11,de_Terrorgruppe,95.94703931413484,9
12,de_Terrorherrschaft,15.183124549300645,5
13,de_Terroristische_Vereinigung,17.347341774379785,3
14,de_Terry_Crews,15.149286049235412,2
15,de_Terry_Gilliam,11.967356910569599,9
16,de_Terry_Jones_(Komiker),15.579410118080881,5
17,de_Terry_O’Quinn,146.0843085503966,9
18,de_Tertiärer_Bildungsbereich,15.450213636724625,4
19,de_Terz_(Musik),21.681387207151584,2
20,de_Tesla-Transformator,16.83269347641399,9
21,de_Tesla_Gigafactory,15.499459085674268,5
22,de_Tesla_Model_X,15.562043394002394,4
23,de_Tesla_Powerwall,15.390979888247532,4
24,de_Tesla_Roadster,16.385936451886472,2
25,de_Tess_(Film),16.962044127793412,4
26,de_Tess_Gerritsen,102.15318668631771,24
27,de_Tesserakt,12.398582716165215,3
28,de_Test,23.524206246666388,6
29,de_Testament,73.40292013240608,5
30,de_Testamentsvollstrecker,15.856487296045884,7
31,de_Testgetriebene_Entwicklung,60.4844015121512,10
32,de_Tet-Offensive,12.580522187244465,8
33,de_Tethys_(Ozean),19.48870881443045,4
34,de_Tetra_Pak,15.303289692177827,1
35,de_Tetracyclin,17.812513894521196,4
36,de_Tetraeder,19.29742931548222,9
37,de_Tetrazepam,14.432753967377186,3
38,de_Teutonen,15.700812841465625,8
39,de_Texas_Lightning,15.487055299095626,5
40,de_Texas_Rangers_(Polizei),15.610812659484072,6
41,de_Textilie,17.708806892116538,3
42,de_Textilindustrie,18.804438923928974,3
43,de_Textverarbeitung,60.40370866037168,8
44,de_Thailändische_Schrift,102.15318668631771,24
45,de_Thalassämie,15.563503786930125,5
46,de_Thales_Group,18.441043261184944,5
47,de_Thatcherismus,18.51335491018553,10
48,de_The_13th_Floor_–_Bist_du_was_du_denkst?,12.434670888606165,9
49,de_The_1975,14.434589241434006,5
50,de_The_Addams_Family,46.915567621383495,10
51,de_The_Alan_Parsons_Project,16.66437385600187,5
52,de_The_Amazing_Spider-Man_(2012),14.040067096136275,5
53,de_The_Amazing_Spider-Man_2:_Rise_of_Electro,18.338851272872784,1
54,de_The_Apprentice,30.53927994722143,6
55,de_The_Artist_(Film),16.66972378978569,9
56,de_The_Asylum,205.76318472552762,6
57,de_The_Bangles,20.679318000445374,2
58,de_The_Beatles,17.37262639166936,1
59,de_The_Beatles/Diskografie,20.048249184032727,4
60,de_The_Beatles_(Album),17.754304273495165,6
61,de_The_Big_Lebowski,13.143704423816574,8
62,de_The_Big_Wedding,15.240095286761415,2
63,de_The_Biggest_Loser,16.926391897994414,5
64,de_The_Birth_of_a_Nation_–_Aufstand_zur_Freiheit,15.478888035262866,5
65,de_The_Black_Dahlia,17.298837212213712,6
66,de_The_Black_Eyed_Peas,15.426672889327481,7
67,de_The_Blitz,11.196750999969812,6
68,de_The_Blues_Brothers,17.18706268355842,8
69,de_The_Breakfast_Club,14.686802304626932,4
